x,y, num
1919,337, 0
1988,337, 0
2058,337, 0
2127,337, 0
2197,337, 0
2266,337, 0
1919,401, 1
1988,401, 1
2058,401, 1
2127,401, 1
2197,401, 1
2266,401, 1
1919,465, 2
1988,465, 2
2058,465, 2
2127,465, 2
2197,465, 2
2266,465, 2
1919,529, 3
1988,529, 3
2058,529, 3
2127,529, 3
2197,529, 3
2266,529, 3
1919,593, 4
1988,593, 4
2058,593, 4
2127,593, 4
2197,593, 4
2266,593, 4
1919,654, 5
1988,654, 5
2058,654, 5
2127,654, 5
2197,654, 5
2266,654, 5
1919,720, 6
1988,720, 6
2058,720, 6
2127,720, 6
2197,720, 6
2266,720, 6
1919,784, 7
1988,784, 7
2058,784, 7
2127,784, 7
2197,784, 7
2266,784, 7
1919,846, 8
1988,846, 8
2058,846, 8
2127,846, 8
2197,846, 8
2266,846, 8
1919,910, 9
1988,910, 9
2058,910, 9
2127,910, 9
2197,910, 9
2266,910, 9



