x,y, num
1219,337, 0
1293,337, 0
1360,337, 0
1432,337, 0
1500,337, 0
1572,337, 0
1640,337, 0
1708,337, 0
1780,337, 0
1219,401, 1
1293,401, 1
1360,401, 1
1432,401, 1
1500,401, 1
1572,401, 1
1640,401, 1
1708,401, 1
1780,401, 1 
1219,465, 2
1293,465, 2
1360,465, 2
1432,465, 2
1500,465, 2
1572,465, 2
1640,465, 2
1708,465, 2
1780,465, 2
1219,529, 3
1293,529, 3
1360,529, 3
1432,529, 3
1500,529, 3
1572,529, 3
1640,529, 3
1708,529, 3
1780,529, 3
1219,593, 4
1293,593, 4
1360,593, 4
1432,593, 4
1500,593, 4
1572,593, 4
1640,593, 4
1708,593, 4
1780,593, 4
1219,654, 5
1293,654, 5
1360,654, 5
1432,654, 5
1500,654, 5
1572,654, 5
1640,654, 5
1708,654, 5
1780,654, 5
1219,720, 6
1293,720, 6
1360,720, 6
1432,720, 6
1500,720, 6
1572,720, 6
1640,720, 6
1708,720, 6
1780,720, 6
1219,784, 7
1293,784, 7
1360,784, 7
1432,784, 7
1500,784, 7
1572,784, 7
1640,784, 7
1708,784, 7
1780,784, 7
1219,846, 8
1293,846, 8
1360,846, 8
1432,846, 8
1500,846, 8
1572,846, 8
1640,846, 8
1708,846, 8
1780,846, 8
1219,910, 9
1293,910, 9
1360,910, 9
1432,910, 9
1500,910, 9
1572,910, 9
1640,910, 9
1708,910, 9
1780,910, 9
